Key,polish

campfireActivate,"Użyj Paleniska"
caffeineBuzz,"Kop Kofeinowy"
caffeineBuzzDesc,"Kofeina dostarcza energii, podtrzymuje twoją wytrzymałość i temperaturę ciała przez jakiś czas."
inpActActionLockStack,"Zablokuj"
inpActInventorySlot9Name,"Slot 9"
inpActInventorySlot10Name,"Slot 10"
inpActInventorySlot11Name,"Slot 11"
inpActInventorySlot12Name,"Slot 12"
inpActVehicleToggleTopLightName,"Przełącz światła górne"
inpActVehicleToggleSirenName,"Przełącz syrene"
inpActLockSelectedSlotName,"Zablokuj slot ekwipunku"
inpActGuiKeyboardSpaceName,"Klawisz akcji 5"
inpActDebugScreenshotName,"Debug Zrzut Ekranu"
infectionDesc,"Jesteś zainfekowany. Użyj antybiotyków, miodu albo ziołowych antybiotyków aby wyleczyć infekcje. Nieleczony staniesz się słabszy i ostatecznie umrzesz."
lblContextActionCraft,"Wytwórz"
lblContextActionDrink,"Użyj"
lblContextActionDrop,"Wyrzuć"
lblContextActionEat,"Zjedz"
lblContextActionForge,"Piec"
lblContextActionPin,"Przypnij"
lblContextActionRead,"Naucz się"
lblContextActionResearch,"Zbadaj"
lblContextActionScrap,"Zezłomuj"
lblContextActionWear,"Załóż"
lblLevel,"Level: {0}"
lblAcceptQuest,"Akceptuj misję"
lblCancelQuest,"Anuluj misję"
lblRemoveQuest,"Usuń misję"
lblShareQuest,"Udostępnij misję"
megaCrushBuffName,"Napój energetyczny"
megaCrushBuffDesc,"Zwiększ swój refleks i wytrzymałość dzięki dodatkowemu przypływowi energii!"
rangedWeaponStatsTip_title,"Statystyki broni dystansowej"
statCargo,"Ładunek"
statCarryCapacity,"Udźwig"
statCritDamageResist,"Odporność na Krytyki"
statDamageAnimals,"Obrażenia przeciwko zwierzętom"
statDamageDirt,"Uszkadzanie Ziemi"
statDamageIron,"Uszkadzanie Żelaza"
statDamageMetal,"Uszkadzanie Metalu"
statDamageStone,"Uszkadzanie Kamienia"
statDamageUndead,"Obrażenia przeciwko nieumarłym"
statDamageWood,"Uszkadzanie Drewna"
statDegradationPerUse,"Degradacja przy użyciu"
statResistBleed,"Odporność na krwawienia"
statResistCrit,"Odporność na infekcje, zmęczenie, zwichnięcie, ogłuszenie"
statResistInfection,"Odporność na infekcje"
statHealthChangeOT,"Leczenie /sek"
statHealthMaxModifierOT,"Leczenie"
statHyperthermalResist,"Odporność na gorąco"
statHypothermalResist,"Odporność na zimno"
statNoiseIncrease,"Hałas"
statPhysicalDamageResist,"Obrona fizyczna"
statPhysicalDamageResistLight,"Obrona fizyczna (Lekki pancerz)"
statPhysicalDamageResistHeavy,"Obrona fizyczna (Ciężki pancerz)"
statPlayerExpGain,"Bonus doświadczenia"
statStaminaChangeOT,"Wytrzymałość /sek"
statStaminaDrainOT,"Wytrzymałość"
statVehicleCargoCapacity,"Ładowność pojazdu"
statVehicleCargoOverloaded,"Bagażnik przeładowany"
statVehicleLightIntensity,"Natężenie światła"
xuiActiveEffects,"Aktywne efekty"
xuiAllies,"Sojusznicy"
xuiBuyPrice,"$"
xuiCreative,"Kreatywny"
xuiCharacter,"Postać"
xuiCrafting,"Wytwarzanie"
xuiCurrentLife,"Obecne życie"
xuiCosmetics,"Ubiór"
xuiDeaths,"Zgony"
xuiFood,"Najedzenie"
xuiFeelsLike,"Odczuwalnie"
xuiGameStage,"Etap gry"
xuiInventory,"Ekwipunek"
xuiItemsCrafted,"Przedmioty wytworzone"
xuiJournal,"Dziennik"
xuiLongestLife,"Najdłuższe życie"
xuiLevel,"Poziom"
xuiMap,"Mapa"
xuiModifiers,"Modifikatory"
xuiNoSellPrice," "
xuiObjectives,"Cele"
xuiOptionsDynamicMesh,"Dynamiczna siatka"
xuiOptionsVideoDistanceCustom,"Własne"
xuiParty,"Drużyna"
xuiPing,"Ping"
xuiPlayerKills,"Zabici gracze"
xuiPlayers,"Gracze"
xuiPlayerShow,"Pokaż"
xuiPointsAvailable,"[decea3]"
xuiPrefabEditor,"Edytor Prefabrykatów"
xuiQuests,"Misje"
xuiRewards,"Nagrody"
xuiRewardsNotAvailable,"Nagrody obecnie niedostępne."
xuiRwgCountyName,"Nazwa świata"
xuiRwgPreviewer,"Generator świata"
xuiRwgWorldSeed,"Ziarno świata"
xuiSellPrice,"$"
xuiSharedWaypoints,"Udostępnione"
xuiSign,"Edytuj tekst znaku"
xuiSkillBuy,"Odblokuj"
xuiSkillNerfedEffect,"[FF6A00]Umiejętność nie spełnia jednego lub więcej wymagań.[-]"
xuiSkills,"Umiejętności"
xuiSkillList,"Umiejętności"
xuiSteamID,"Steam ID"
xuiVehicleStorage,"Ładunek pojazdu"
xuiVoice,"Głos"
xuiWater,"Woda"
xuiWaypoints,"Zapisano"
xuiWorldEditor,"Edytor świata"
xuiWPskills,"Umiejętności"
xuiXPToNextLevel,"Pozostało doświadczenia do następnego poziomu"
xuiZombieKills,"Zabici zombie"
inpActSkillsName,"Umiejętności"
inpActSkillsDesc,"Otwórz zakładkę umiejętności"
quest_clear_response,"Wyczyść [DECEA3]{poi.name}[-] ([DECEA3]{poi.distance} {poi.direction}[-])"
quest_fetch_response,"Przynieś z [DECEA3]{poi.name}[-] ([DECEA3]{poi.distance} {poi.direction}[-])"
quest_fetch_clear_response,"Przynieś/Wyczyść [DECEA3]{poi.name}[-] ([DECEA3]{poi.distance} {poi.direction}[-])"
quest_restore_power_response,"Przywróć Zasilanie w [DECEA3]{poi.name}[-] ([DECEA3]{poi.distance} {poi.direction}[-])"
uiLoadStartingGame,"Proszę czekać...\nZbieranie zapasów"
uiLoadLoadingXml,"Proszę czekać...\nSzukanie ocalałych"
uiLoadCreatingWorld,"Proszę czekać...\nWalczenie z nieumarłymi"
uiLoadCreatingPlayer,"Proszę czekać...\nOdstraszanie bandytów"
msgBuildingEnvironment,"Proszę czekać...\nSzukanie schronienia"
msgGeneratingDistantTerrain,"Proszę czekać...\nRozglądanie się za lornetką"
msgStartingGame,"Proszę czekać...\nPrzetapianie rudy"
uiLoadWaitingForServer,"Proszę czekać...\nPrzygotowywanie się na hordę"
waitingForServer,"Proszę czekać...\nSzukanie jedzenia"
questBlockActivate,"[73E9B2][{{0}}][-] Aktywuj: {1}"
questRallyActivate,"[73E9B2][{{0}}][-] Rozpocznij misję\n[decea3]( {1} )[-]"
itemTooltipFocusedOne,"[73E9B2][{0}][-] Weź: {1}"
itemTooltipFocusedSeveral,"[73E9B2][{0}][-] Weź: {1} ({2})"
forgeActivate,"[73E9B2][{0}][-] Użyj pieca"
useCampfire,"[73E9B2][{0}][-] Użyj"
useForge,"[73E9B2][{0}][-] Użyj"
useSecureDoor,"[73E9B2][{0}][-] Użyj"
useDoor,"[73E9B2][{0}][-] Użyj"
useOpen,"[73E9B2][{0}][-] Otwórz"
useClose,"[73E9B2][{0}][-] Zamknij"
useWorkstation,"[73E9B2][{0}][-] Użyj:"
lootAccess,"[73E9B2][{0}][-] Otwórz {1}"
lootEntity,"[73E9B2][{0}][-] Przeszukaj: {1}"
lootTooltipEmpty,"[73E9B2][{0}][-] Otwórz: {1}\n[808080](Puste)[-]"
lootTooltipNew,"[73E9B2][{0}][-] Przeszukaj: {1}\n[73E9B2](Nietknięte)[-]"
lootTooltipTouched,"[73E9B2][{0}][-] Otwórz: {1}"
lootVehicleEmpty,"[73E9B2][{0}][-] Otwórz: {1}{2}\n[808080](Puste)[-]"
lootVehicleNew,"[73E9B2][{0}][-] Przeszukaj: {1}{2}\n[73E9B2](Nietknięte)[-]"
lootVehicleTouched,"[73E9B2][{0}][-] Otwórz: {1}{2}"
lootVehicleSecureJammed,"[73E9B2][{0}][-] Użyj: {1}{2}\n[808080](Zacięte)[-]"
lootVehicleSecureLocked,"[73E9B2][{0}][-] Użyj: {1}{2}\n[808080](Zamknięte)[-]"
lootVehicleSecureUnlocked,"[73E9B2][{0}][-] Użyj: {1}{2}\n[808080](Otwarte)[-]"
tooltipJammed,"[73E9B2][{0}][-] Użyj: {1}\n[808080](Zacięte)[-]"
tooltipLocked,"[73E9B2][{0}][-] Użyj: {1}\n[808080](Zamknięte)[-]"
tooltipUnlocked,"[73E9B2][{0}][-] Użyj: {1}\n[808080](Otwarte)[-]"
useBlock,"[73E9B2][{0}][-] Użyj: {1}"
editLabel,"[73E9B2][{0}][-] Zmień opis"
useElevator,"[73E9B2][{0}][-] Użyj: [808080](Piętro {1})[-]"
lootItem,"[73E9B2][{0}][-] Podnieś: {1}"
tooltipInteract,"[73E9B2][{0}][-] Użyj: {1}"
vendingMachineActivate,"[73E9B2][{0}][-] Użyj: {1}"
useSwitchLightOff,"[73E9B2][{0}][-] Wyłącz"
useSwitchLightOn,"[73E9B2][{0}][-] Włącz"
npcTooltipTalk,"[73E9B2][{0}][-] Porozmawiaj z: {1}"
pickupCrops,"[73E9B2][{{0}}][-] Zbierz: {0} {1}"
pickupPrompt,"[73E9B2][{{0}}][-] Podnieś: {0}"
xuiVendingWithOwner,"Automat Handlowy\n[808080]({0})[-]"
xuiLockAmmo,"Włącz"
xuiUnlockAmmo,"Wyłącz"
activeBlockPrompt,"{0}\n[73E9B2](Aktywny)[-]"
inactiveBlockPrompt,"{0}\n[808080](Nieaktywny)[-]"
uiOpenJammed,"[73E9B2][{0}][-] Otwórz {1}\n[808080](Zacięte)[-]"
uiOpenLocked,"[73E9B2][{0}][-] Otwórz {1}\n[808080](Zamknięte)[-]"
uiOpenUnlocked,"[73E9B2][{0}][-] Otwórz {1}\n[808080](Otwarte)[-]"
blockcommand_aim,"Cel"
blockcommand_confirm,"Potwierdź umieszczenie"
blockcommand_do_nothing,"Nic nie rób"
blockcommand_fuel_add,"Dodaj do pojemnika"
blockcommand_fuel_take,"Napełnij z pojemnika"
blockcommand_repair,"Napraw"
blockcommand_pick1,"Otwórz Zamek\n[808080](Wytrych)[-]"
blockcommand_pick2,"Otwórz Zamek\n[808080](Wsuwka)[-]"
blockcommand_useC4,"Użyj Ładunku Wybuchowego"
uiNull,""
uiActionFillFrom,"[73E9B2][{0}][-] Napełnij z {1}"
uiActionFillTo,"[73E9B2][{0}][-] Dodaj do {1}"
uiActionTake,"[73E9B2][{0}][-] Weź {1}"
uiActionUse,"[73E9B2][{0}][-] Użyj {1}"
uiActionUntouched,"\n[73E9B2](Nietknięte)[-]"
uiActionSkillLevelUp,"Twoja umiejętność - [decea3]{0}[-] - została podniesiona do poziomu [decea3]{1}[-]!"
uiAll,"Wszystko"
uiAllResearch,"Wszystkie badania"
uiAmmo,"Amunicja"
uiAmmoAndExplosives,"Amunicja/Materiały wybuchowe"
uiAmmunition,"Amunicja"
uiArmor,"Pancerz"
uiAttention,"Uwaga"
uiBackpack,"Plecak"
uiBasicCrafting,"Wytwórz"
uiBiomeName,"Nazwa biomu"
uiBloodMoon,"Krwawy Księżyc"
uiBlockAndMaterialName,"{1} / {0}"
uiBlockMissing,"Brakuje b/loku"
uiBlockName,"{0}"
uiBooksSchematics,"Książki i schematy"
uiBuffs,"Premie"
uiCantPickUpFuelNotEmpty,"Zabierz paliwo ze stacji roboczej!"
uiCantPickUpInputNotEmpty,"Zabierz materiały ze stacji roboczej!"
uiCantPickUpOutputNotEmpty,"Zabierz przedmioty ze stacji roboczej!"
uiCantPickUpQueueNotEmpty,"Stacja robocza dalej pracuje!"
uiCantPickUpToolsNotEmpty,"Zabierz narzędzia ze stacji roboczej!"
uiClothing,"Odzież"
uiClothingAndArmor,"Odzież i pancerz"
uiClothingArmorMods,"Modyfikacje do odzieży/pancerza"
uiColorPickerHex,"Kolor (Hex)"
uiColorPickerRGB,"Kolor (RGB)"
